order_id,order_date,order_year_month,customer_id,signup_date,signup_cohort,acquisition_channel,city,product_id,product_category,quantity,gross_amount,discount_amount,net_revenue,shipping_cost,payment_fee,total_cogs,cm2_operating_profit,discount_pct
ORD-000001,2025-01-27,2025-01,1319,2025-01-07,2025-01,Paid Search,Pune,P102,Electronics,1,799.0,0.0,799.0,100.0,15.98,450.0,233.02,0.0
ORD-000002,2026-06-03,2026-06,4718,2025-12-28,2025-12,Paid Search,Hyderabad,P107,Beauty & Grooming,1,699.0,174.75,524.25,80.0,10.48,250.0,183.77,25.0
ORD-000003,2024-12-06,2024-12,6492,2024-12-05,2024-12,Organic Search,Bengaluru,P102,Electronics,1,799.0,0.0,799.0,60.0,15.98,450.0,273.02,0.0
ORD-000004,2026-06-22,2026-06,2375,2026-03-28,2026-03,Paid Search,Hyderabad,P106,Beauty & Grooming,1,499.0,0.0,499.0,80.0,9.98,150.0,259.02,0.0
ORD-000005,2026-03-09,2026-03,6443,2026-03-03,2026-03,Paid Search,Bengaluru,P103,Fashion,1,899.0,134.85,764.15,60.0,15.28,300.0,388.87,15.0
ORD-000007,2026-05-04,2026-05,1451,2026-04-25,2026-04,Organic Search,Bengaluru,P103,Fashion,1,899.0,0.0,899.0,60.0,17.98,300.0,521.02,0.0
ORD-000008,2024-12-22,2024-12,9545,2024-12-07,2024-12,Meta Ads,Pune,P106,Beauty & Grooming,3,1497.0,224.55,1272.45,80.0,25.45,450.0,717.0,15.0
ORD-000009,2026-07-13,2026-07,8181,2026-04-25,2026-04,Paid Search,Hyderabad,P106,Beauty & Grooming,1,499.0,174.65,324.35,60.0,6.49,150.0,107.86000000000003,35.0
ORD-000010,2024-10-01,2024-10,2941,2024-09-12,2024-09,Paid Search,Delhi NCR,P102,Electronics,1,799.0,279.65,519.35,60.0,10.39,450.0,-1.0399999999999778,35.0
ORD-000011,2024-10-15,2024-10,3368,2024-08-29,2024-08,Meta Ads,Pune,P107,Beauty & Grooming,2,1398.0,0.0,1398.0,60.0,27.96,500.0,810.04,0.0
ORD-000012,2025-05-06,2025-05,8888,2025-03-28,2025-03,Meta Ads,Mumbai,P101,Electronics,1,1999.0,499.75,1499.25,60.0,29.98,1200.0,209.27,25.0
ORD-000013,2026-01-21,2026-01,1248,2025-11-30,2025-11,Email Referral,Bengaluru,P103,Fashion,1,899.0,44.95,854.05,100.0,17.08,300.0,436.96999999999997,5.0
ORD-000014,2026-03-26,2026-03,4504,2026-01-07,2026-01,Paid Search,Hyderabad,P104,Fashion,1,1499.0,0.0,1499.0,60.0,29.98,600.0,809.02,0.0
ORD-000015,2025-05-12,2025-05,9760,2025-04-26,2025-04,Meta Ads,Bengaluru,P102,Electronics,1,799.0,199.75,599.25,80.0,11.98,450.0,57.269999999999996,25.0
ORD-000016,2024-12-16,2024-12,9876,2024-09-14,2024-09,Paid Search,Bengaluru,P101,Electronics,1,1999.0,0.0,1999.0,80.0,39.98,1200.0,679.02,0.0
ORD-000017,2026-08-10,2026-08,9836,2026-02-25,2026-02,Paid Search,Hyderabad,P103,Fashion,1,899.0,224.75,674.25,60.0,13.48,300.0,300.77,25.0
ORD-000018,2026-03-07,2026-03,1479,2026-01-16,2026-01,Email Referral,Pune,P101,Electronics,1,1999.0,99.95,1899.05,80.0,37.98,1200.0,581.0699999999999,5.0
ORD-000019,2024-10-27,2024-10,3761,2024-09-20,2024-09,Paid Search,Bengaluru,P105,Home & Kitchen,3,2997.0,749.25,2247.75,80.0,44.96,1200.0,922.79,25.0
